104 208
0 0
0 0
0 0
208 104
0 0
0 0
3866 14488
100233584 49862
0 0
0 0
0 0
104 208
0 0
292 0
104 1314
612 0
0 0
288 0
2298 12576
20026394 9878
0 0
3113008 3496
0 0
1896 1312
0 0
0 0
0 0
0 0
1766 1998
0 0
0 0
0 0
0 0
312 1418
0 0
0 0
0 0
0 0
104 208
0 0
1454 224
297814986 126448
367533112 145936
338724464 136910
444031800 173704
130170156 56184
0 0
288 0
884 208
780 0
780 0
780 0
0 0
0 0
0 0
0 0
0 0
0 0
1766 1998
0 0
0 0
0 0
0 0
208 104
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
288 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1766 1998
0 0
0 0
0 0
0 0
208 104
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
288 0
0 0
0 0
0 0
0 0
0 0
0 0
104 1314
0 0
0 0
0 0
1766 1998
104 208
0 0
0 0
0 0
208 104
0 0
0 0
0 0
0 0
0 0
2314 12492
530796 56986
287624 56788
229086 57076
3478662 61568
12868918 64370
17347600 67456
1648934 49560
220232096 91818
14111148 7096
0 0
0 0
416 832
104 208
0 0
0 0
0 0
0 0
0 0
1766 1998
104 1314
0 0
0 0
0 0
208 104
104 208
0 0
4366 12700
53544 251576
64090 280592
53886 234952
7247662 93710
9321488 72390
1026278 45608
0 0
0 0
0 0
4454 12888
58538 158320
493628 270244
209480 22230
780 0
780 0
89250 169838
0 0
87178 293350
520 5714
19804 270558
34014 15116
12208 89430
42864 196744
4246 12682
47068 274284
0 0
38350 279774
4558 28036
23418 247068
4246 12682
53718 275416
0 0
18718 270116
19950 1248
45642 8066
10760 3252
3318 8090
104 1314
0 0
0 0
288 0
520 1040
4470 12908
44720 395546
74008 30450
21012 15390
0 0
2090 208
56408 426382
1328 1876
39442 407640
14342 15866
8940 87096
45016 336038
0 0
102304 424594
624 4046
22858 145498
110834 286136
0 0
0 0
0 0
141102 182246
416 5256
25344 166662
98036 24784
3680 12784
67292 201382
0 0
97300 184984
25240 13972
4142 12578
26134 163642
80660 1560
0 0
0 0
0 0
10290 3044
125336 7672
0 0
19840 3044
24204 7878
520 6570
0 0
0 0
0 0
312 312
4886 13740
404802 196254
232468 42144
0 0
4454 12890
130110 211150
104 1314
9658 87512
11960 78354
292 0
2714 13514
124226 5434
4454 12682
726572 104700
3680 12786
791050 134774
1224 104
686118 150750
71276 14284
0 0
151736 191726
0 0
193672 176838
0 0
1766 1998
0 0
0 0
15184 163900
20896 1968
728 8104
0 0
0 0
142006 189112
68712 13074
14596 112388
251110 36962
11302 94398
91270 59914
34514 122636
33936 13972
7142 86888
46728 44236
9450 87200
4494 30874
1068 0
780 0
15034 16600
780 0
166662 120446
312 3942
117134 140812
416 3942
123960 143944
0 0
671366 153624
416 3942
276960 143252
15120 2836
0 0
208 104
0 0
312 624
7366 87322
67738 79546
3418 2084
55686 141304
5744 27828
163942 122710
2090 208
419546 167528
0 0
228206 163844
208 1314
24154 159000
84154 15244
7662 87512
77264 55920
0 0
30120 127968
1224 104
87390 115936
0 0
137034 138042
0 0
274850 152756
0 0
251088 180546
0 0
159576 169102
21856 6882
0 0
0 0
77480 190280
0 0
57286 199854
159032 14700
13670 99162
171704 59314
2090 208
153564 527374
0 0
147568 499274
416 3942
82196 485968
34002 12346
0 0
84060 492770
104 1314
113110 491424
9894 8194
93842 489700
33362 11138
83916 489286
45008 12762
18230 487342
104732 15348
12210 98312
114392 401884
0 0
208 104
107144 491976
21340 8300
82044 486408
30714 12554
80700 486384
46480 14204
13864 109788
114500 390072
10872 89180
108416 413180
4246 12682
130424 487868
0 0
0 0
288 0
0 0
624 1248
12898 109286
112090 391490
0 0
9960 87720
150854 417746
0 0
128282 501132
1870 3770
182626 508510
0 0
116390 491806
12422 9406
85452 489556
520 5256
3576 12682
57408 478150
0 0
114158 498442
0 0
136082 500966
0 0
82494 498362
0 0
64608 1354514
36398 17224
2090 208
79698 991160
1068 0
4356 12680
31454 965008
4252 12474
72924 976964
0 0
